(Nicht �ndern) Projekt;(Nicht �ndern) Zeilenpr�fsumme;(Nicht �ndern) Ge�ndert am;Projektbezeichnung;Team;Breite;Laenge;Vollstaendige Adresse (Verortung)
5e47cce9-aacf-43f2-916d-f8816fd6b862;JCyBBHQtO/XjUueNukzDokce9KeMdFrpeqbcHzDeKwY6sx648/WQrkxmuPYjcts7glX8I2ii3tvrLoUFQ1QdlA==;15.04.2025 10:31;VOEST Kaverne Steyrling;12 - Geologie & Geotechnik;47,8065910300;14,1298198700;Steyrling, 4571 Klaus, �sterreich
8ba0c630-4ae4-44a6-ada8-f043ebdfc820;Fg0gG2FP2bvFEvAra3FFTz2x+htJDW9mVmkTDCGW92yX6iXtvM6vbR/1Vubj/fD6ABRh2qH+zsGa19WQTKE49g==;15.04.2025 10:03;Steinschlichtung Wagenhofer, Plainfeld;12 - Geologie & Geotechnik;47,8322991000;13,1622010000;Lehenauweg 7, 5325 Plainfeld, �sterreich
033c96b1-62b7-4e0f-93a6-51e3767d0996;jaHs4ePPsemzzGKOmAfNEIdqXXJGmN8JqoOavQE8MM+YKDomJYn7tz1fZQrHyAPDqnWSg5NxLxgz3b5IyD8oNg==;15.04.2025 10:03;Weiglgasse 6-10, 1150;25 - Fr�hlich & Locher;48,1873360000;16,3228960000;Weiglgasse 6, 1150 Rudolfsheim-F�nfhaus, �sterreich
9b47494f-4d76-4ad8-a1d2-4e82601ad602;ClqGQSOgzDVlDE/0BklD6Z9HbLxoktmXrSxkiECG3+mQ3dJplVBxi0OS3nna9EYlwUamp77AOe6xtyvC6naV3w==;15.04.2025 10:03;BHKW Rosenauerweg_Dilly W�rmeversorgung GmbH_Windischgarsten_Lufttechnische Untersuchung;13 - Immissionsschutz;47,7219000000;14,3284000000;Windischgarsten, �sterreich
779ba217-b6f4-4582-9ef6-63f1cd05af37;rSj5n80bsruALqf8V/JrnQiKBy1+9n7UIySmYlI4pSWAzpDYspjSJMPPsEtY3cDJWCNcOIPLDTiGjv+81guBQA==;15.04.2025 10:03;Adwall Planung Parkplatz Phase 2;12 - Geologie & Geotechnik;47,5152179000;13,4497434000;Steuer 62, 5524 Annaberg im Lammertal, �sterreich
f8ab6a00-c99d-4ecd-91ea-629bc4692b64;Brq9CIlmQEUbnzbo2yj2LFcsaGLM/g5VrFpq9OcR00dk09xgf3AAJFrxC24vz+QkxJGHFf+9tM0OqM5f9CVcSg==;15.04.2025 10:03;Neubau S6 Autobahntunnel;12 - Geologie & Geotechnik;47,5372346065;15,5614727604;Semmering-Schnellstra�e, 8670 Krieglach, �sterreich
cff629d9-4c96-4389-bcc9-089d08505d2f;euJOYsIKGZEVEfZvsKXIRscQPaYZ3D0z9T/zkoxVYftGlcjcDfY+ytHHDCMt1fby4Lc1bB6tryDNJaQmxq3MAQ==;15.04.2025 10:03;Deponie Hohenruppersdorf LS;13 - Immissionsschutz;48,4449203000;16,7048623000;Deponiestra�e 1, 2223 Hohenruppersdorf, �sterreich
97d7058c-3dcc-4348-a77e-c62f8589af8a;/q5UzcU1O0OuAYomfglId7IGMoFJyJtW+DTUsKGzGNwiFVISqy1qTNsnRQgYO23qz9xxsM1xx+Rk3U2bv2lEHw==;15.04.2025 10:03;AT_PI Tauerntun;11 - Tunnelbau;47,5871000000;14,1410000000;�sterreich
c8dafe69-a3af-4440-aec6-a273a35a12f5;k+COD0oLdR2m+BjtiuUvIuX4peRfyU0qosylesS4YhkPa8j2XllSkrW00j/z52R1UDZ2+Gdl7V7I5GcjWQOicw==;15.04.2025 10:03;Caritas Haus St. Klemens, Pflegeheim Edenstra�e - �rtliche Bauaufsicht;63 - Baumanagement & BauKG;48,2150887000;16,2442163000;Edenstra�e 21, 1140 Wien, �sterreich
3d8fa6d1-2f69-4809-90fc-72115bc0e87c;8W7YZSgYBjIi2CuS2vmJGiyhTjKsTGummFZ13LMcOQSzCWkTr3buKHi7brgAqnUjbmpiSWUlpYWRLb8l9eHpPg==;15.04.2025 10:03;KIKA_Machbarkeitsstudien;28 - Hochbau West;47,8666229200;13,1225252200;M�belstra�e 8, 5301 Eugendorf, �sterreich
c7dfe77b-dda3-4e71-9be3-77ac2a0cebd8;e0rXjXt3K57EigTElQEUCBYgg9pcDUMCxS1TqJtNya88hajL7hSmBfQ5c2TNH+oftjTOfg2soH2Jwb31AdYwJA==;15.04.2025 10:03;AT_PSKW Energiespeicher Riedl;11 - Tunnelbau;48,5174000000;13,7165000000;Jochenstein, Deutschland
95c7c417-c585-4f53-bebd-f505529e012f;tJmCqlkPtxjKX55HyD4p7Cc1Cf9eT3jyTJBKWv+ZisQShaNnvC6aeSLyREFuJ5qUCTjbvctPutvvs0Di+pnthA==;15.04.2025 10:03;Setup Wired- & Smart Score, Berlin;14 - Bauphysik;52,4782000000;13,3860000000;Tempelhof, Berlin, Deutschland
14339549-b974-4d4b-8742-38b223061867;0t+NtChMn8xOeyO4pIpzUPS6ktK/Krf8uDpzvb7sCmZtNE2J+NyRbavEEVq6/v7P6eaYt1q+YO22/5EaajJ3Aw==;15.04.2025 10:03;Amtshaus Theresienbadgasse 3, 1120 Wien - Begleitende Kontrolle;62 - Projektmanagement & -controlling;48,1820436000;16,3289930000;Theresienbadgasse, 1120 Wien, �sterreich
f019c80c-8e77-4607-970c-59996596e7c8;nsohcNOMh2EwaEG+nv83ZMoRW2VFI9zQbXZM7rsPcSi5LjBIQiu0pbSo7ybuW2e1QPusNYZGQc6Gf4r+8i02IA==;15.04.2025 10:03;Amtshaus Karl-Farkas-Gasse 16, 1030 Wien - Begleitende Kontrolle;62 - Projektmanagement & -controlling;48,1894782000;16,4058719000;Karl-Farkas Gasse 16, 1030 Wien, �sterreich
8163003d-fdf4-49e6-b1b5-bdca1afd8fe0;94sFi6G6T0oCaEmH+oKoU4gYaXmBlMlW2EinRGJ62myXZSpIRV8RXQYEoAyr+9o9IovgRBIWrN36YUZGJy1a4g==;15.04.2025 10:03;RV WiGeV PS / Abruf Klinik Donaustadt Neubau Speisenversorgung (KDO-SPN) - Projektsteuerung;62 - Projektmanagement & -controlling;48,2199432000;16,4608679000;Langobardenstra�e 122, 1220 Wien, �sterreich
f0bcf36f-80d7-4108-9f07-e3b3a43a5cd6;V2saN7CUX2yOzwUVrxBJsV2pRgzXPH6iMRdvEbeO6APa1BUUez6br4B+mi0PDQluS4j8fWrOukfSughCCtKtCQ==;15.04.2025 10:03;FH Campus Wien - House of Health Sciences - �rtliche Bauaufsicht;63 - Baumanagement & BauKG;48,1580288000;16,3823669000;Favoritenstra�e 226, 1100 Wien, �sterreich
